MEM,func,k,AAE,ARE,_sum,throughput,,,,,,,,
10,CuckooSketch,1000,29.751,nan,325/1000,23.0113,,10,CuckooSketch,1000,29.751,nan,325/1000,23.0113
10,CuckooSketchPro,1000,6.045,2.95521,306/1000,32.1481,,10,CuckooSketchPro,1000,6.045,2.95521,306/1000,32.1481
20,CuckooSketch,1000,9.577,inf,413/1000,22.1131,,20,CuckooSketch,1000,9.577,inf,413/1000,22.1131
20,CuckooSketchPro,1000,3.943,1.58602,411/1000,29.6551,,20,CuckooSketchPro,1000,3.943,1.58602,411/1000,29.6551
30,CuckooSketch,1000,2.867,inf,447/1000,21.3917,,30,CuckooSketch,1000,2.867,inf,447/1000,21.3917
30,CuckooSketchPro,1000,1.959,0.934439,459/1000,28.7728,,30,CuckooSketchPro,1000,1.959,0.934439,459/1000,28.7728
40,CuckooSketch,1000,2.504,1.28805,492/1000,21.1122,,40,CuckooSketch,1000,2.504,1.28805,492/1000,21.1122
40,CuckooSketchPro,1000,1.224,inf,504/1000,28.2781,,40,CuckooSketchPro,1000,1.224,inf,504/1000,28.2781
50,CuckooSketch,1000,2.258,inf,542/1000,20.8751,,50,CuckooSketch,1000,2.258,inf,542/1000,20.8751
50,CuckooSketchPro,1000,0.933,inf,546/1000,27.5862,,50,CuckooSketchPro,1000,0.933,inf,546/1000,27.5862
60,CuckooCounter,1000,12.488,5.73242,382/1000,19.8468,,60,CuckooCounter,1000,12.488,5.73242,382/1000,19.8468
60,CuckooSketch,1000,1.582,0.830969,549/1000,21.3972,,60,CuckooSketch,1000,1.582,0.830969,549/1000,21.3972
60,CuckooSketchPro,1000,0.877,0.262486,566/1000,27.6732,,60,CuckooSketchPro,1000,0.877,0.262486,566/1000,27.6732
60,heavykeeper,1000,40.879,0.659553,251/1000,16.4796,,60,heavykeeper,1000,40.879,0.659553,251/1000,16.4796
60,LossyCounting,1000,450.297,432.715,23/1000,1.97743,,60,LossyCounting,1000,450.297,432.715,23/1000,1.97743
60,spacesaving,1000,778.546,624.809,90/1000,18.8779,,60,spacesaving,1000,778.546,624.809,90/1000,18.8779
70,CuckooCounter,1000,5.478,2.77335,457/1000,18.9865,,70,CuckooCounter,1000,5.478,2.77335,457/1000,18.9865
70,CuckooSketch,1000,1.79,inf,569/1000,20.6731,,70,CuckooSketch,1000,1.79,inf,569/1000,20.6731
70,CuckooSketchPro,1000,0.675,0.174531,581/1000,26.3456,,70,CuckooSketchPro,1000,0.675,0.174531,581/1000,26.3456
70,heavykeeper,1000,54.606,0.890298,395/1000,16.159,,70,heavykeeper,1000,54.606,0.890298,395/1000,16.159
70,LossyCounting,1000,383.997,373.663,28/1000,1.93244,,70,LossyCounting,1000,383.997,373.663,28/1000,1.93244
70,spacesaving,1000,664.977,522.967,80/1000,18.3999,,70,spacesaving,1000,664.977,522.967,80/1000,18.3999
80,CuckooCounter,1000,4.021,1.97295,503/1000,18.5093,,80,CuckooCounter,1000,4.021,1.97295,503/1000,18.5093
80,CuckooSketch,1000,1.242,0.575282,579/1000,19.972,,80,CuckooSketch,1000,1.242,0.575282,579/1000,19.972
80,CuckooSketchPro,1000,0.585,0.168267,597/1000,25.5715,,80,CuckooSketchPro,1000,0.585,0.168267,597/1000,25.5715
80,heavykeeper,1000,34.131,0.656667,411/1000,15.3976,,80,heavykeeper,1000,34.131,0.656667,411/1000,15.3976
80,LossyCounting,1000,333.821,320.593,34/1000,1.5392,,80,LossyCounting,1000,333.821,320.593,34/1000,1.5392
80,spacesaving,1000,570.597,458.565,111/1000,18.0891,,80,spacesaving,1000,570.597,458.565,111/1000,18.0891
90,CuckooCounter,1000,2.965,1.7696,525/1000,18.6268,,90,CuckooCounter,1000,2.965,1.7696,525/1000,18.6268
90,CuckooSketch,1000,1.039,inf,597/1000,20.9983,,90,CuckooSketch,1000,1.039,inf,597/1000,20.9983
90,CuckooSketchPro,1000,0.461,0.135952,600/1000,26.9913,,90,CuckooSketchPro,1000,0.461,0.135952,600/1000,26.9913
90,heavykeeper,1000,18.45,0.476647,419/1000,15.9862,,90,heavykeeper,1000,18.45,0.476647,419/1000,15.9862
90,LossyCounting,1000,292.98,284.282,46/1000,1.93202,,90,LossyCounting,1000,292.98,284.282,46/1000,1.93202
90,spacesaving,1000,508.852,401.282,87/1000,16.9676,,90,spacesaving,1000,508.852,401.282,87/1000,16.9676
100,CuckooCounter,1000,2.756,1.48321,556/1000,18.8914,,100,CuckooCounter,1000,2.756,1.48321,556/1000,18.8914
100,CuckooSketch,1000,0.901,inf,610/1000,21.0664,,100,CuckooSketch,1000,0.901,inf,610/1000,21.0664
100,CuckooSketchPro,1000,0.366,0.0800573,606/1000,26.6674,,100,CuckooSketchPro,1000,0.366,0.0800573,606/1000,26.6674
100,heavykeeper,1000,8.882,0.375167,429/1000,15.9441,,100,heavykeeper,1000,8.882,0.375167,429/1000,15.9441
100,LossyCounting,1000,263.064,251.099,48/1000,1.96384,,100,LossyCounting,1000,263.064,251.099,48/1000,1.96384
100,spacesaving,1000,448.794,351.696,115/1000,17.6032,,100,spacesaving,1000,448.794,351.696,115/1000,17.6032
