MEM,func,k,AAE,ARE,_sum,throughput
10,CuckooCounter,100,11.36,6.23024,84/100,21.9111,
10,CuckooSketch,100,185.4,0.0212785,95/100,23.8601,
10,CuckooSketchPro,100,0.86,0.00238823,91/100,31.8878,
10,heavykeeper,100,148.31,0.716758,45/100,17.5263,
10,LossyCounting,100,2713.78,2672.24,2/100,1.93429,
10,spacesaving,100,4754.98,3621.54,11/100,20.5948,
20,CuckooCounter,100,6.91,4.97677,87/100,21.8914,
20,CuckooSketch,100,48.46,0.0133355,96/100,22.416,
20,CuckooSketchPro,100,0.08,0.000250094,95/100,29.6736,
20,heavykeeper,100,98.55,0.455992,62/100,17.6691,
20,LossyCounting,100,1328.91,1245.75,4/100,1.95186,
20,spacesaving,100,2263.81,1561.22,21/100,19.7664,
20,CuckooCounter,200,7.42,1.68509,173/200,21.5109,
20,CuckooSketch,200,26.495,0.0164618,186/200,22.6045,
20,CuckooSketchPro,200,0.865,0.00357551,177/200,29.2039,
20,heavykeeper,200,122.695,0.708169,120/200,17.3837,
20,LossyCounting,200,1356.45,1314.88,4/200,1.97557,
20,spacesaving,200,2348.09,1805.48,27/200,20.088,
20,CuckooCounter,300,11.56,1.78426,229/300,21.2703,
20,CuckooSketch,300,17.6633,0.0109746,296/300,22.583,
20,CuckooSketchPro,300,2.99667,0.0164687,292/300,29.8143,
20,heavykeeper,300,68.64,1.60694,66/300,17.485,
20,LossyCounting,300,1365.64,1337.92,4/300,1.94678,
20,spacesaving,300,2378.71,2000.71,27/300,16.28,
30,CuckooCounter,100,2.1,0.00642187,86/100,21.6277,
30,CuckooSketch,100,0.03,9.86395e-05,98/100,22.0819,
30,CuckooSketchPro,100,0.03,9.67742e-05,98/100,28.4965,
30,heavykeeper,100,17.66,0.0650793,81/100,17.4499,
30,LossyCounting,100,840.07,826.085,9/100,1.94888,
30,spacesaving,100,1455.3,1007.16,23/100,19.9956,
30,CuckooCounter,200,3.25,0.845394,172/200,21.1184,
30,CuckooSketch,200,0.32,0.00160416,179/200,22.1273,
30,CuckooSketchPro,200,0.19,0.000810591,182/200,28.6566,
30,heavykeeper,200,116.96,0.68371,153/200,17.1521,
30,LossyCounting,200,881.535,874.543,9/200,1.93031,
30,spacesaving,200,1536.34,1186.1,29/200,19.5111,
30,CuckooCounter,300,1.75333,0.00737041,292/300,20.7667,
30,CuckooSketch,300,0.213333,0.00106944,296/300,22.0658,
30,CuckooSketchPro,300,0.126667,0.000540394,296/300,28.7257,
30,heavykeeper,300,124.01,0.852297,197/300,16.8206,
30,LossyCounting,300,895.303,866.055,9/300,1.96267,
30,spacesaving,300,1561.62,1234.93,33/300,19.9788,
30,CuckooCounter,400,13.065,0.672587,372/400,20.6954,
30,CuckooSketch,400,0.8675,0.0134624,379/400,22.097,
30,CuckooSketchPro,400,1.2975,0.0171495,390/400,28.8475,
30,heavykeeper,400,90.91,0.80707,209/400,17.0056,
