MEM,func,k,AAE,ARE,_sum,throughput,,,,,,,,,,
100,CuckooSketch,100,0.58,0.000393785,100/100,17.6466,,,,,,,,,,
100,CuckooSketchPro,100,0.73,0.000541202,100/100,21.4754,,,,100,CuckooCounter,1000,0.534,0.00311841,997/1000,13.0446
100,CuckooSketch,200,0.34,0.000279928,200/200,18.0535,,,,100,CuckooSketch,1000,2.572,0.00687837,1000/1000,19.6167
100,CuckooSketchPro,200,0.445,0.000395542,200/200,21.5708,,,,100,CuckooSketchPro,1000,0.37,0.00140947,1000/1000,22.6886
100,CuckooSketch,300,0.27,0.000285892,300/300,18.111,,,,100,heavykeeper,1000,8.437,0.367451,179/1000,11.7579
100,CuckooSketchPro,300,0.39,0.000463687,300/300,21.2022,,,,100,LossyCounting,1000,152.803,120.76,482/1000,10.8728
100,CuckooSketch,400,1.9775,0.00400855,400/400,18.4016,,,,100,spacesaving,1000,252.701,16.3188,550/1000,17.3512
100,CuckooSketchPro,400,0.3925,0.000647424,400/400,21.7647,,,,200,CuckooCounter,1000,0.212,0.00121138,998/1000,12.9747
100,CuckooSketch,500,1.668,0.00352826,500/500,19.2615,,,,200,CuckooSketch,1000,0.187,0.000705559,1000/1000,19.7254
100,CuckooSketchPro,500,0.386,0.000781504,500/500,22.5535,,,,200,CuckooSketchPro,1000,0.093,0.000430973,1000/1000,22.8217
100,CuckooSketch,600,1.66833,0.00388593,600/600,18.8893,,,,200,heavykeeper,1000,1.18,0.00569738,996/1000,12.9569
100,CuckooSketchPro,600,0.388333,0.000945387,600/600,22.5887,,,,200,LossyCounting,1000,18.878,0.254446,893/1000,10.9288
100,CuckooSketch,700,1.92714,0.0045778,700/700,19.0956,,,,200,spacesaving,1000,56.415,0.974553,754/1000,16.5396
100,CuckooSketchPro,700,0.382857,0.00105916,700/700,22.4992,,,,300,CuckooCounter,1000,0.397,0.00280482,998/1000,12.6778
100,CuckooSketch,800,2.1125,0.00563639,800/800,18.9143,,,,300,CuckooSketch,1000,0.017,8.85E-05,1000/1000,20.109
100,CuckooSketchPro,800,0.37375,0.00115783,800/800,22.748,,,,300,CuckooSketchPro,1000,0.042,0.000194442,1000/1000,23.2218
100,CuckooSketch,900,2.24,0.00585708,900/900,18.885,,,,300,heavykeeper,1000,0.473,0.0023923,1000/1000,13.6745
100,CuckooSketchPro,900,0.375556,0.00130619,899/900,22.5235,,,,300,LossyCounting,1000,8.174,0.0537721,954/1000,11.0096
100,CuckooSketch,100,0.58,0.000393785,100/100,18.9829,,,,300,spacesaving,1000,16.927,0.144766,902/1000,15.8391
100,CuckooSketchPro,100,0.73,0.000541202,100/100,22.5561,,,,400,CuckooCounter,1000,0.148,0.00168057,998/1000,12.8844
100,CuckooSketch,200,0.34,0.000279928,200/200,19.4099,,,,400,CuckooSketch,1000,0.024,0.000124022,1000/1000,20.3986
100,CuckooSketchPro,200,0.445,0.000395542,200/200,22.765,,,,400,CuckooSketchPro,1000,0.057,0.000205878,1000/1000,23.916
100,CuckooSketch,300,0.27,0.000285892,300/300,19.2374,,,,400,heavykeeper,1000,0.248,0.00123131,1000/1000,14.3796
100,CuckooSketchPro,300,0.39,0.000463687,300/300,22.6752,,,,400,LossyCounting,1000,5.34,0.0304897,971/1000,10.933
100,CuckooSketch,400,1.9775,0.00400855,400/400,19.006,,,,400,spacesaving,1000,8.088,0.0519842,950/1000,15.3645
100,CuckooSketchPro,400,0.3925,0.000647424,400/400,22.6065,,,,500,CuckooCounter,1000,0.254,0.00102357,999/1000,13.1716
100,CuckooSketch,500,1.668,0.00352826,500/500,19.2005,,,,500,CuckooSketch,1000,0.174,0.000556501,1000/1000,20.5719
100,CuckooSketchPro,500,0.386,0.000781504,500/500,22.6865,,,,500,CuckooSketchPro,1000,0.021,0.00010696,1000/1000,24.4966
100,CuckooSketch,600,1.66833,0.00388593,600/600,19.0796,,,,500,heavykeeper,1000,0.232,0.00112782,1000/1000,14.6791
100,CuckooSketchPro,600,0.388333,0.000945387,600/600,22.765,,,,500,LossyCounting,1000,3.88,0.0202884,981/1000,11.0127
100,CuckooSketch,700,1.92714,0.0045778,700/700,19.1998,,,,500,spacesaving,1000,4.928,0.0284239,968/1000,14.4726
100,CuckooSketchPro,700,0.382857,0.00105916,700/700,22.6362,,,,600,CuckooCounter,1000,0.348,0.00196808,998/1000,13.0414
100,CuckooSketch,800,2.1125,0.00563639,800/800,19.1487,,,,600,CuckooSketch,1000,0.012,4.55E-05,1000/1000,20.1975
100,CuckooSketchPro,800,0.37375,0.00115783,800/800,22.75,,,,600,CuckooSketchPro,1000,0.003,2.12E-05,1000/1000,23.7518
100,CuckooSketch,900,2.24,0.00585708,900/900,19.1593,,,,600,heavykeeper,1000,0.126,0.000600209,1000/1000,15.0401
100,CuckooSketchPro,900,0.375556,0.00130619,899/900,22.6393,,,,600,LossyCounting,1000,3.1,0.0159448,985/1000,10.9998
100,CuckooCounter,100,7.65,0.015469,98/100,15.5323,,,,600,spacesaving,1000,3.258,0.0171554,979/1000,14.1265
100,CuckooSketch,100,0.58,0.000393785,100/100,18.9563,,,,700,CuckooCounter,1000,0.174,0.000625663,1000/1000,13.198
100,CuckooSketchPro,100,0.73,0.000541202,100/100,22.58,,,,700,CuckooSketch,1000,0.058,0.000204312,1000/1000,19.7601
100,heavykeeper,100,0.45,0.000363403,100/100,14.7977,,,,700,CuckooSketchPro,1000,0.028,0.000143495,1000/1000,24.1505
100,LossyCounting,100,12.93,0.00955429,100/100,10.8257,,,,700,heavykeeper,1000,0.183,0.000998818,999/1000,15.3671
100,spacesaving,100,36.24,0.0334449,98/100,17.3671,,,,700,LossyCounting,1000,2.573,0.0130613,986/1000,10.8815
100,CuckooCounter,200,0.12,0.000169032,200/200,14.968,,,,700,spacesaving,1000,2.397,0.012338,984/1000,13.8232
100,CuckooSketch,200,0.34,0.000279928,200/200,19.4852,,,,800,CuckooCounter,1000,0.227,0.00043682,1000/1000,13.1065
100,CuckooSketchPro,200,0.445,0.000395542,200/200,22.6778,,,,800,CuckooSketch,1000,0.004,2.41E-05,1000/1000,18.8993
100,heavykeeper,200,0.84,0.00105419,200/200,14.0184,,,,800,CuckooSketchPro,1000,0.005,2.58E-05,1000/1000,21.8469
100,LossyCounting,200,14.58,0.0187786,197/200,10.9512,,,,800,heavykeeper,1000,0.093,0.000427606,1000/1000,15.1577
100,spacesaving,200,53.215,0.100113,184/200,17.4195,,,,800,LossyCounting,1000,2.168,0.0106745,990/1000,10.7916
100,CuckooCounter,300,1.07667,0.00140784,300/300,14.5391,,,,800,spacesaving,1000,1.79,0.00885605,989/1000,13.3278
100,CuckooSketch,300,0.27,0.000285892,300/300,19.4708,,,,900,CuckooCounter,1000,0.141,0.000764756,999/1000,13.1745
100,CuckooSketchPro,300,0.39,0.000463687,300/300,22.6132,,,,900,CuckooSketch,1000,0.011,6.93E-05,1000/1000,19.6804
100,heavykeeper,300,1.37667,0.00227843,300/300,13.5331,,,,900,CuckooSketchPro,1000,0,0,1000/1000,23.3372
100,LossyCounting,300,18.0767,0.0392135,287/300,10.9145,,,,900,heavykeeper,1000,0.072,0.000384745,999/1000,15.5075
100,spacesaving,300,83.4567,0.30867,248/300,17.435,,,,900,LossyCounting,1000,1.838,0.00887153,992/1000,10.7236
100,CuckooCounter,400,1.32,0.00141019,400/400,14.2116,,,,900,spacesaving,1000,1.403,0.00693559,991/1000,13.2078
100,CuckooSketch,400,1.9775,0.00400855,400/400,19.419,,,,1000,CuckooCounter,1000,0.128,0.000336522,1000/1000,12.6135
100,CuckooSketchPro,400,0.3925,0.000647424,400/400,22.5953,,,,1000,CuckooSketch,1000,0,0,1000/1000,18.3969
100,heavykeeper,400,1.265,0.00293231,400/400,13.1843,,,,1000,CuckooSketchPro,1000,0.854,0.00102857,1000/1000,23.0712
100,LossyCounting,400,24.4875,0.0930527,374/400,10.9638,,,,1000,heavykeeper,1000,0.074,0.000336926,1000/1000,15.1361
100,spacesaving,400,120.18,0.803004,306/400,17.3382,,,,1000,LossyCounting,1000,1.629,0.0078824,992/1000,10.6283
100,CuckooCounter,500,0.324,0.000846663,500/500,13.8385,,,,1000,spacesaving,1000,1.108,0.00537188,993/1000,12.8909
100,CuckooSketch,500,1.668,0.00352826,500/500,19.4594,,,,,,,,,,
100,CuckooSketchPro,500,0.386,0.000781504,500/500,22.7061,,,,,,,,,,
100,heavykeeper,500,1.608,0.00422797,500/500,12.8462,,,,,,,,,,
100,LossyCounting,500,39.53,0.514745,438/500,10.8991,,,,,,,,,,
100,spacesaving,500,151.25,1.63489,359/500,17.4307,,,,,,,,,,
100,CuckooCounter,600,1.105,0.00203277,600/600,13.8118,,,,,,,,,,
100,CuckooSketch,600,1.66833,0.00388593,600/600,19.5733,,,,,,,,,,
100,CuckooSketchPro,600,0.388333,0.000945387,600/600,22.6593,,,,,,,,,,
100,heavykeeper,600,1.965,0.00614828,598/600,12.648,,,,,,,,,,
100,LossyCounting,600,74.6433,32.4809,455/600,10.9163,,,,,,,,,,
100,spacesaving,600,175.642,2.54569,412/600,17.4189,,,,,,,,,,
100,CuckooCounter,700,0.6,0.00366188,696/700,13.6467,,,,,,,,,,
100,CuckooSketch,700,1.92714,0.0045778,700/700,19.5944,,,,,,,,,,
100,CuckooSketchPro,700,0.382857,0.00105916,700/700,22.7438,,,,,,,,,,
100,heavykeeper,700,2.77286,0.0109692,697/700,12.3713,,,,,,,,,,
100,LossyCounting,700,103.406,66.8736,463/700,10.937,,,,,,,,,,
100,spacesaving,700,200.354,3.8235,454/700,17.356,,,,,,,,,,
100,CuckooCounter,800,0.97,0.00517982,794/800,13.028,,,,,,,,,,
100,CuckooSketch,800,2.1125,0.00563639,800/800,18.9595,,,,,,,,,,
100,CuckooSketchPro,800,0.37375,0.00115783,800/800,21.7207,,,,,,,,,,
100,heavykeeper,800,3.92375,0.0128077,785/800,11.8714,,,,,,,,,,
100,LossyCounting,800,123.344,88.5061,471/800,10.6034,,,,,,,,,,
100,spacesaving,800,219.029,5.67945,494/800,16.7647,,,,,,,,,,
100,CuckooCounter,900,1.28667,0.0195557,896/900,13.4043,,,,,,,,,,
100,CuckooSketch,900,2.24,0.00585708,900/900,19.5069,,,,,,,,,,
100,CuckooSketchPro,900,0.375556,0.00130619,899/900,22.7526,,,,,,,,,,
100,heavykeeper,900,4.83222,0.0295016,887/900,12.0122,,,,,,,,,,
100,LossyCounting,900,140.192,108.921,474/900,11.0396,,,,,,,,,,
100,spacesaving,900,237.646,11.261,518/900,17.3421,,,,,,,,,,
100,CuckooCounter,1000,0.534,0.00311841,997/1000,13.0446,,,,,,,,,,
100,CuckooSketch,1000,2.572,0.00687837,1000/1000,19.6167,,,,,,,,,,
100,CuckooSketchPro,1000,0.37,0.00140947,1000/1000,22.6886,,,,,,,,,,
100,heavykeeper,1000,8.437,0.367451,179/1000,11.7579,,,,,,,,,,
100,LossyCounting,1000,152.803,120.76,482/1000,10.8728,,,,,,,,,,
100,spacesaving,1000,252.701,16.3188,550/1000,17.3512,,,,,,,,,,
